source_region,target_region,rank,source_city,target_city,distance
Northeast China,Northeast China,1,哈尔滨市,齐齐哈尔市,0.07438834011554718
Northeast China,Northeast China,2,哈尔滨市,佳木斯市,0.07563655078411102
Northeast China,Northeast China,3,沈阳市,大连市,0.07597058266401291
Northeast China,Northeast China,4,哈尔滨市,大庆市,0.07615943998098373
Northeast China,Northeast China,5,长春市,哈尔滨市,0.07624655961990356
Northeast China,Eastern Coastal,1,哈尔滨市,北京市,0.07680562883615494
Northeast China,Eastern Coastal,2,沈阳市,天津市,0.077095627784729
Northeast China,Eastern Coastal,3,沈阳市,北京市,0.07744310796260834
Northeast China,Eastern Coastal,4,哈尔滨市,天津市,0.07783303409814835
Northeast China,Eastern Coastal,5,哈尔滨市,上海市,0.07803471386432648
Northeast China,Central China,1,沈阳市,张家界市,0.07978805899620056
Northeast China,Central China,2,哈尔滨市,张家界市,0.0809319019317627
Northeast China,Central China,3,大连市,张家界市,0.08116506785154343
Northeast China,Central China,4,哈尔滨市,武汉市,0.08136580139398575
Northeast China,Central China,5,沈阳市,武汉市,0.08144477009773254
Northeast China,Western China,1,沈阳市,西安市,0.07951589673757553
Northeast China,Western China,2,哈尔滨市,西安市,0.08013634383678436
Northeast China,Western China,3,哈尔滨市,重庆市,0.08062642067670822
Northeast China,Western China,4,沈阳市,重庆市,0.08075421303510666
Northeast China,Western China,5,哈尔滨市,成都市,0.08084703236818314
Eastern Coastal,Northeast China,1,北京市,哈尔滨市,0.07204310595989227
Eastern Coastal,Northeast China,2,北京市,大连市,0.07231461256742477
Eastern Coastal,Northeast China,3,北京市,沈阳市,0.07468374073505402
Eastern Coastal,Northeast China,4,上海市,大连市,0.07516751438379288
Eastern Coastal,Northeast China,5,上海市,哈尔滨市,0.07520318776369095
Eastern Coastal,Eastern Coastal,1,北京市,天津市,0.06875105947256088
Eastern Coastal,Eastern Coastal,2,北京市,上海市,0.07027895748615265
Eastern Coastal,Eastern Coastal,3,广州市,深圳市,0.07068204879760742
Eastern Coastal,Eastern Coastal,4,上海市,苏州市,0.07091330736875534
Eastern Coastal,Eastern Coastal,5,上海市,杭州市,0.0714879259467125
Eastern Coastal,Central China,1,北京市,张家界市,0.07277212291955948
Eastern Coastal,Central China,2,北京市,武汉市,0.07281264662742615
Eastern Coastal,Central China,3,上海市,黄山市,0.07317494601011276
Eastern Coastal,Central China,4,上海市,武汉市,0.07324258238077164
Eastern Coastal,Central China,5,上海市,合肥市,0.07334703952074051
Eastern Coastal,Western China,1,北京市,西安市,0.07158435881137848
Eastern Coastal,Western China,2,北京市,重庆市,0.07195618003606796
Eastern Coastal,Western China,3,北京市,成都市,0.07239127904176712
Eastern Coastal,Western China,4,上海市,重庆市,0.07314186543226242
Eastern Coastal,Western China,5,上海市,西安市,0.07341184467077255
Central China,Northeast China,1,郑州市,大连市,0.07852187752723694
Central China,Northeast China,2,郑州市,哈尔滨市,0.07916363328695297
Central China,Northeast China,3,武汉市,大连市,0.07920383661985397
Central China,Northeast China,4,武汉市,哈尔滨市,0.07930514961481094
Central China,Northeast China,5,合肥市,大连市,0.08044830709695816
Central China,Eastern Coastal,1,郑州市,北京市,0.07437173277139664
Central China,Eastern Coastal,2,郑州市,上海市,0.07465986907482147
Central China,Eastern Coastal,3,武汉市,上海市,0.07474459707736969
Central China,Eastern Coastal,4,合肥市,南京市,0.07480323314666748
Central China,Eastern Coastal,5,武汉市,深圳市,0.07492765784263611
Central China,Central China,1,郑州市,洛阳市,0.07131186127662659
Central China,Central China,2,武汉市,襄阳市,0.0722949281334877
Central China,Central China,3,郑州市,开封市,0.07273980975151062
Central China,Central China,4,长沙市,张家界市,0.07308020442724228
Central China,Central China,5,武汉市,宜昌市,0.07320056110620499
Central China,Western China,1,郑州市,西安市,0.07497606426477432
Central China,Western China,2,武汉市,重庆市,0.075497567653656
Central China,Western China,3,武汉市,成都市,0.0764850452542305
Central China,Western China,4,武汉市,西安市,0.07683942466974258
Central China,Western China,5,郑州市,重庆市,0.07700580358505249
Western China,Northeast China,1,成都市,大连市,0.07535580545663834
Western China,Northeast China,2,成都市,哈尔滨市,0.07806559652090073
Western China,Northeast China,3,成都市,沈阳市,0.07880426198244095
Western China,Northeast China,4,西安市,大连市,0.07984846830368042
Western China,Northeast China,5,西安市,哈尔滨市,0.08003813773393631
Western China,Eastern Coastal,1,成都市,上海市,0.07377844303846359
Western China,Eastern Coastal,2,成都市,北京市,0.0741625428199768
Western China,Eastern Coastal,3,成都市,天津市,0.07514297962188721
Western China,Eastern Coastal,4,成都市,深圳市,0.07554298639297485
Western China,Eastern Coastal,5,成都市,南京市,0.0758058950304985
Western China,Central China,1,成都市,张家界市,0.07572183758020401
Western China,Central China,2,重庆市,张家界市,0.07672648131847382
Western China,Central China,3,成都市,合肥市,0.07683635503053665
Western China,Central China,4,西安市,张家界市,0.07724671065807343
Western China,Central China,5,成都市,武汉市,0.07726334035396576
Western China,Western China,1,成都市,重庆市,0.07200195640325546
Western China,Western China,2,昆明市,丽江市,0.07390674948692322
Western China,Western China,3,西安市,汉中市,0.07393291592597961
Western China,Western China,4,重庆市,成都市,0.07402769476175308
Western China,Western China,5,成都市,泸州市,0.07428672164678574
