source_region,target_region,rank,source_city,target_city,distance
Northeast China,Northeast China,1,哈尔滨市,齐齐哈尔市,0.07349321991205215
Northeast China,Northeast China,2,长春市,哈尔滨市,0.07513345032930374
Northeast China,Northeast China,3,大连市,沈阳市,0.0753742903470993
Northeast China,Northeast China,4,哈尔滨市,佳木斯市,0.07557179778814316
Northeast China,Northeast China,5,沈阳市,大连市,0.07612387090921402
Northeast China,Eastern Coastal,1,哈尔滨市,北京市,0.07642422616481781
Northeast China,Eastern Coastal,2,沈阳市,北京市,0.0771927535533905
Northeast China,Eastern Coastal,3,哈尔滨市,上海市,0.07732220739126205
Northeast China,Eastern Coastal,4,沈阳市,上海市,0.07771483063697815
Northeast China,Eastern Coastal,5,长春市,北京市,0.07785461843013763
Northeast China,Central China,1,沈阳市,张家界市,0.07878851890563965
Northeast China,Central China,2,哈尔滨市,张家界市,0.07915840297937393
Northeast China,Central China,3,大连市,张家界市,0.07922714203596115
Northeast China,Central China,4,长春市,张家界市,0.08000112324953079
Northeast China,Central China,5,哈尔滨市,武汉市,0.08073508739471436
Northeast China,Western China,1,哈尔滨市,成都市,0.07366476953029633
Northeast China,Western China,2,沈阳市,成都市,0.07376483827829361
Northeast China,Western China,3,大连市,成都市,0.07453636080026627
Northeast China,Western China,4,长春市,成都市,0.0747334286570549
Northeast China,Western China,5,沈阳市,西安市,0.07799693197011948
Eastern Coastal,Northeast China,1,北京市,哈尔滨市,0.0716702789068222
Eastern Coastal,Northeast China,2,北京市,大连市,0.07217846810817719
Eastern Coastal,Northeast China,3,北京市,沈阳市,0.07423233240842819
Eastern Coastal,Northeast China,4,上海市,哈尔滨市,0.07435017824172974
Eastern Coastal,Northeast China,5,上海市,大连市,0.07441682368516922
Eastern Coastal,Eastern Coastal,1,北京市,天津市,0.06994945555925369
Eastern Coastal,Eastern Coastal,2,北京市,上海市,0.0704214870929718
Eastern Coastal,Eastern Coastal,3,上海市,苏州市,0.07050295919179916
Eastern Coastal,Eastern Coastal,4,杭州市,宁波市,0.07086305320262909
Eastern Coastal,Eastern Coastal,5,上海市,杭州市,0.07097301632165909
Eastern Coastal,Central China,1,北京市,张家界市,0.07253092527389526
Eastern Coastal,Central China,2,北京市,武汉市,0.07258496433496475
Eastern Coastal,Central China,3,上海市,张家界市,0.07287630438804626
Eastern Coastal,Central China,4,上海市,武汉市,0.07304242253303528
Eastern Coastal,Central China,5,上海市,黄山市,0.0730685368180275
Eastern Coastal,Western China,1,北京市,成都市,0.06820846349000931
Eastern Coastal,Western China,2,上海市,成都市,0.0701131820678711
Eastern Coastal,Western China,3,北京市,西安市,0.07069046050310135
Eastern Coastal,Western China,4,北京市,重庆市,0.07107043266296387
Eastern Coastal,Western China,5,深圳市,成都市,0.07152337580919266
Central China,Northeast China,1,郑州市,大连市,0.077835813164711
Central China,Northeast China,2,郑州市,哈尔滨市,0.07843413949012756
Central China,Northeast China,3,武汉市,哈尔滨市,0.0784684345126152
Central China,Northeast China,4,武汉市,大连市,0.07854978740215302
Central China,Northeast China,5,长沙市,哈尔滨市,0.07984531670808792
Central China,Eastern Coastal,1,郑州市,上海市,0.07427920401096344
Central China,Eastern Coastal,2,武汉市,上海市,0.07433847337961197
Central China,Eastern Coastal,3,郑州市,北京市,0.07439690828323364
Central China,Eastern Coastal,4,武汉市,深圳市,0.0750386118888855
Central China,Eastern Coastal,5,合肥市,南京市,0.07519282400608063
Central China,Central China,1,郑州市,洛阳市,0.07140370458364487
Central China,Central China,2,武汉市,宜昌市,0.07270148396492004
Central China,Central China,3,郑州市,开封市,0.07327163964509964
Central China,Central China,4,武汉市,襄阳市,0.07328124344348907
Central China,Central China,5,长沙市,张家界市,0.07333969324827194
Central China,Western China,1,郑州市,成都市,0.07204388827085495
Central China,Western China,2,武汉市,成都市,0.0721813514828682
Central China,Western China,3,郑州市,西安市,0.07325375825166702
Central China,Western China,4,长沙市,成都市,0.07342862337827682
Central China,Western China,5,武汉市,重庆市,0.07410240918397903
Western China,Northeast China,1,成都市,哈尔滨市,0.07694312185049057
Western China,Northeast China,2,成都市,大连市,0.07726824283599854
Western China,Northeast China,3,西安市,大连市,0.07881702482700348
Western China,Northeast China,4,成都市,沈阳市,0.07890220731496811
Western China,Northeast China,5,西安市,哈尔滨市,0.07918788492679596
Western China,Eastern Coastal,1,成都市,上海市,0.07344553619623184
Western China,Eastern Coastal,2,成都市,北京市,0.07407037168741226
Western China,Eastern Coastal,3,成都市,深圳市,0.07472866773605347
Western China,Eastern Coastal,4,成都市,南京市,0.07529889047145844
Western China,Eastern Coastal,5,重庆市,上海市,0.07552628964185715
Western China,Central China,1,成都市,张家界市,0.07448236644268036
Western China,Central China,2,重庆市,张家界市,0.07532350718975067
Western China,Central China,3,成都市,武汉市,0.07640872150659561
Western China,Central China,4,西安市,张家界市,0.0765720009803772
Western China,Central China,5,重庆市,黄山市,0.0769389271736145
Western China,Western China,1,重庆市,成都市,0.07139391452074051
Western China,Western China,2,成都市,重庆市,0.0714142918586731
Western China,Western China,3,西安市,成都市,0.07229719310998917
Western China,Western China,4,成都市,绵阳市,0.07356961816549301
Western China,Western China,5,成都市,泸州市,0.07364939153194427
