source_region,target_region,rank,source_city,target_city,distance
Northeast China,Northeast China,1,沈阳市,大连市,0.07563889026641846
Northeast China,Northeast China,2,哈尔滨市,齐齐哈尔市,0.07582467794418335
Northeast China,Northeast China,3,沈阳市,哈尔滨市,0.07796342670917511
Northeast China,Northeast China,4,长春市,哈尔滨市,0.07822892814874649
Northeast China,Northeast China,5,哈尔滨市,牡丹江市,0.07829663157463074
Northeast China,Eastern Coastal,1,沈阳市,上海市,0.07709025591611862
Northeast China,Eastern Coastal,2,哈尔滨市,上海市,0.07755180448293686
Northeast China,Eastern Coastal,3,沈阳市,深圳市,0.07792293280363083
Northeast China,Eastern Coastal,4,哈尔滨市,青岛市,0.07802432030439377
Northeast China,Eastern Coastal,5,沈阳市,青岛市,0.07804661244153976
Northeast China,Central China,1,沈阳市,武汉市,0.07453755289316177
Northeast China,Central China,2,哈尔滨市,武汉市,0.07550179213285446
Northeast China,Central China,3,长春市,武汉市,0.07634704560041428
Northeast China,Central China,4,大连市,武汉市,0.0774199590086937
Northeast China,Central China,5,鞍山市,武汉市,0.07958753407001495
Northeast China,Western China,1,沈阳市,西安市,0.07692254334688187
Northeast China,Western China,2,哈尔滨市,西安市,0.07766994833946228
Northeast China,Western China,3,沈阳市,成都市,0.07850448042154312
Northeast China,Western China,4,长春市,西安市,0.07890809327363968
Northeast China,Western China,5,哈尔滨市,成都市,0.07907622307538986
Eastern Coastal,Northeast China,1,北京市,哈尔滨市,0.07331813871860504
Eastern Coastal,Northeast China,2,北京市,大连市,0.07411304116249084
Eastern Coastal,Northeast China,3,上海市,大连市,0.07516380399465561
Eastern Coastal,Northeast China,4,上海市,哈尔滨市,0.07531838119029999
Eastern Coastal,Northeast China,5,北京市,沈阳市,0.07540590316057205
Eastern Coastal,Eastern Coastal,1,北京市,上海市,0.07164529711008072
Eastern Coastal,Eastern Coastal,2,北京市,深圳市,0.07169518619775772
Eastern Coastal,Eastern Coastal,3,北京市,青岛市,0.07174678891897202
Eastern Coastal,Eastern Coastal,4,北京市,天津市,0.07197204232215881
Eastern Coastal,Eastern Coastal,5,杭州市,上海市,0.07242555171251297
Eastern Coastal,Central China,1,北京市,武汉市,0.06900516897439957
Eastern Coastal,Central China,2,上海市,武汉市,0.0695900022983551
Eastern Coastal,Central China,3,杭州市,武汉市,0.07156018167734146
Eastern Coastal,Central China,4,深圳市,武汉市,0.0716300830245018
Eastern Coastal,Central China,5,广州市,武汉市,0.07202263921499252
Eastern Coastal,Western China,1,北京市,西安市,0.07107891887426376
Eastern Coastal,Western China,2,北京市,成都市,0.07158264517784119
Eastern Coastal,Western China,3,北京市,重庆市,0.07267167419195175
Eastern Coastal,Western China,4,上海市,西安市,0.0727805644273758
Eastern Coastal,Western China,5,上海市,成都市,0.07300902158021927
Central China,Northeast China,1,武汉市,大连市,0.0788021832704544
Central China,Northeast China,2,武汉市,哈尔滨市,0.07949627935886383
Central China,Northeast China,3,郑州市,大连市,0.07961653172969818
Central China,Northeast China,4,郑州市,哈尔滨市,0.07991796731948853
Central China,Northeast China,5,长沙市,哈尔滨市,0.08049475401639938
Central China,Eastern Coastal,1,武汉市,深圳市,0.075199656188488
Central China,Eastern Coastal,2,武汉市,上海市,0.07527070492506027
Central China,Eastern Coastal,3,郑州市,上海市,0.07580677419900894
Central China,Eastern Coastal,4,合肥市,上海市,0.07600510120391846
Central China,Eastern Coastal,5,长沙市,深圳市,0.07620424777269363
Central China,Central China,1,郑州市,洛阳市,0.07294581830501556
Central China,Central China,2,郑州市,武汉市,0.07372763752937317
Central China,Central China,3,武汉市,襄阳市,0.07447831332683563
Central China,Central China,4,长沙市,武汉市,0.0745009183883667
Central China,Central China,5,合肥市,武汉市,0.074818454682827
Central China,Western China,1,郑州市,西安市,0.07528577744960785
Central China,Western China,2,武汉市,西安市,0.07556618750095367
Central China,Western China,3,武汉市,成都市,0.07626981288194656
Central China,Western China,4,武汉市,重庆市,0.07640300691127777
Central China,Western China,5,长沙市,西安市,0.07675950974225998
Western China,Northeast China,1,成都市,大连市,0.07781258225440979
Western China,Northeast China,2,成都市,哈尔滨市,0.07797814905643463
Western China,Northeast China,3,重庆市,大连市,0.07960324734449387
Western China,Northeast China,4,重庆市,哈尔滨市,0.07981758564710617
Western China,Northeast China,5,西安市,大连市,0.07983863353729248
Western China,Eastern Coastal,1,成都市,上海市,0.07385660707950592
Western China,Eastern Coastal,2,成都市,深圳市,0.07401198893785477
Western China,Eastern Coastal,3,成都市,青岛市,0.07484081387519836
Western China,Eastern Coastal,4,重庆市,上海市,0.07539915293455124
Western China,Eastern Coastal,5,成都市,北京市,0.07573343068361282
Western China,Central China,1,成都市,武汉市,0.07109905034303665
Western China,Central China,2,重庆市,武汉市,0.07332035154104233
Western China,Central China,3,西安市,武汉市,0.074341781437397
Western China,Central China,4,成都市,郑州市,0.07646533101797104
Western China,Central China,5,成都市,洛阳市,0.07668831199407578
Western China,Western China,1,成都市,重庆市,0.07284023612737656
Western China,Western China,2,成都市,西安市,0.07316534221172333
Western China,Western China,3,重庆市,成都市,0.07428768277168274
Western China,Western China,4,成都市,宜宾市,0.07489844411611557
Western China,Western China,5,成都市,攀枝花市,0.0749291479587555
