source_region,target_region,rank,source_city,target_city,distance
Northeast China,Northeast China,1,哈尔滨市,齐齐哈尔市,0.07585962116718292
Northeast China,Northeast China,2,沈阳市,大连市,0.0762825533747673
Northeast China,Northeast China,3,长春市,哈尔滨市,0.07805655151605606
Northeast China,Northeast China,4,沈阳市,哈尔滨市,0.07841277122497559
Northeast China,Northeast China,5,大庆市,哈尔滨市,0.07843171805143356
Northeast China,Eastern Coastal,1,沈阳市,南京市,0.07897713035345078
Northeast China,Eastern Coastal,2,沈阳市,北京市,0.0790499597787857
Northeast China,Eastern Coastal,3,沈阳市,上海市,0.07905437052249908
Northeast China,Eastern Coastal,4,哈尔滨市,上海市,0.07938621193170547
Northeast China,Eastern Coastal,5,哈尔滨市,南京市,0.07945269346237183
Northeast China,Central China,1,沈阳市,张家界市,0.07993242144584656
Northeast China,Central China,2,沈阳市,蚌埠市,0.08013787120580673
Northeast China,Central China,3,沈阳市,郑州市,0.08019667863845825
Northeast China,Central China,4,哈尔滨市,蚌埠市,0.08077295124530792
Northeast China,Central China,5,哈尔滨市,郑州市,0.08088573068380356
Northeast China,Western China,1,沈阳市,西安市,0.07788319140672684
Northeast China,Western China,2,哈尔滨市,西安市,0.0784655511379242
Northeast China,Western China,3,长春市,西安市,0.07906577736139297
Northeast China,Western China,4,沈阳市,成都市,0.07916179299354553
Northeast China,Western China,5,哈尔滨市,成都市,0.07962730526924133
Eastern Coastal,Northeast China,1,北京市,哈尔滨市,0.07373515516519547
Eastern Coastal,Northeast China,2,北京市,大连市,0.07415729761123657
Eastern Coastal,Northeast China,3,上海市,大连市,0.07501953095197678
Eastern Coastal,Northeast China,4,北京市,沈阳市,0.07538308948278427
Eastern Coastal,Northeast China,5,上海市,哈尔滨市,0.07616125047206879
Eastern Coastal,Eastern Coastal,1,北京市,南京市,0.07225955277681351
Eastern Coastal,Eastern Coastal,2,深圳市,广州市,0.07226371020078659
Eastern Coastal,Eastern Coastal,3,北京市,天津市,0.07229797542095184
Eastern Coastal,Eastern Coastal,4,北京市,上海市,0.07233120501041412
Eastern Coastal,Eastern Coastal,5,北京市,石家庄市,0.07249989360570908
Eastern Coastal,Central China,1,北京市,郑州市,0.07293647527694702
Eastern Coastal,Central China,2,北京市,张家界市,0.07342340052127838
Eastern Coastal,Central China,3,上海市,郑州市,0.07349865138530731
Eastern Coastal,Central China,4,北京市,蚌埠市,0.0735965222120285
Eastern Coastal,Central China,5,上海市,蚌埠市,0.07402589172124863
Eastern Coastal,Western China,1,北京市,西安市,0.07113521546125412
Eastern Coastal,Western China,2,上海市,西安市,0.07215668261051178
Eastern Coastal,Western China,3,北京市,成都市,0.07220566272735596
Eastern Coastal,Western China,4,北京市,重庆市,0.07293164730072021
Eastern Coastal,Western China,5,上海市,成都市,0.07351672649383545
Central China,Northeast China,1,武汉市,大连市,0.0791550725698471
Central China,Northeast China,2,郑州市,大连市,0.07919420301914215
Central China,Northeast China,3,长沙市,大连市,0.07987679541110992
Central China,Northeast China,4,合肥市,大连市,0.07990017533302307
Central China,Northeast China,5,郑州市,哈尔滨市,0.0801340863108635
Central China,Eastern Coastal,1,合肥市,南京市,0.07512013614177704
Central China,Eastern Coastal,2,合肥市,上海市,0.07638854533433914
Central China,Eastern Coastal,3,郑州市,上海市,0.07703140377998352
Central China,Eastern Coastal,4,武汉市,南京市,0.07706250250339508
Central China,Eastern Coastal,5,武汉市,上海市,0.07708976417779922
Central China,Central China,1,郑州市,洛阳市,0.07273726910352707
Central China,Central China,2,长沙市,张家界市,0.07430320978164673
Central China,Central China,3,武汉市,襄阳市,0.07535272091627121
Central China,Central China,4,合肥市,黄山市,0.07536670565605164
Central China,Central China,5,合肥市,蚌埠市,0.07560010999441147
Central China,Western China,1,郑州市,西安市,0.07506343722343445
Central China,Western China,2,武汉市,西安市,0.07601919770240784
Central China,Western China,3,长沙市,西安市,0.07687488943338394
Central China,Western China,4,武汉市,重庆市,0.07701390236616135
Central China,Western China,5,合肥市,西安市,0.07711106538772583
Western China,Northeast China,1,成都市,大连市,0.07803650945425034
Western China,Northeast China,2,成都市,哈尔滨市,0.07897557318210602
Western China,Northeast China,3,成都市,沈阳市,0.07950054109096527
Western China,Northeast China,4,重庆市,大连市,0.07951726019382477
Western China,Northeast China,5,西安市,大连市,0.0796407088637352
Western China,Eastern Coastal,1,成都市,上海市,0.07586722820997238
Western China,Eastern Coastal,2,成都市,南京市,0.07640868425369263
Western China,Eastern Coastal,3,成都市,深圳市,0.07677201926708221
Western China,Eastern Coastal,4,成都市,北京市,0.0768139511346817
Western China,Eastern Coastal,5,重庆市,上海市,0.07718035578727722
Western China,Central China,1,成都市,蚌埠市,0.07560509443283081
Western China,Central China,2,重庆市,蚌埠市,0.0772726759314537
Western China,Central China,3,成都市,张家界市,0.07734105736017227
Western China,Central China,4,成都市,郑州市,0.07738417387008667
Western China,Central China,5,西安市,蚌埠市,0.0781482681632042
Western China,Western China,1,成都市,重庆市,0.07300233840942383
Western China,Western China,2,成都市,西安市,0.07395780086517334
Western China,Western China,3,重庆市,成都市,0.07457192242145538
Western China,Western China,4,成都市,宜宾市,0.07457830011844635
Western China,Western China,5,成都市,绵阳市,0.07460037618875504
