source_region,target_region,rank,source_city,target_city,distance
Northeast China,Northeast China,1,哈尔滨市,齐齐哈尔市,0.0747668594121933
Northeast China,Northeast China,2,沈阳市,大连市,0.07508808374404907
Northeast China,Northeast China,3,长春市,哈尔滨市,0.07623469829559326
Northeast China,Northeast China,4,沈阳市,哈尔滨市,0.07645218819379807
Northeast China,Northeast China,5,哈尔滨市,佳木斯市,0.07720652222633362
Northeast China,Eastern Coastal,1,沈阳市,北京市,0.07619235664606094
Northeast China,Eastern Coastal,2,哈尔滨市,北京市,0.07686085999011993
Northeast China,Eastern Coastal,3,沈阳市,上海市,0.07688036561012268
Northeast China,Eastern Coastal,4,哈尔滨市,上海市,0.07764732092618942
Northeast China,Eastern Coastal,5,沈阳市,南京市,0.07794559746980667
Northeast China,Central China,1,沈阳市,张家界市,0.07860836386680603
Northeast China,Central China,2,沈阳市,武汉市,0.07939096540212631
Northeast China,Central China,3,哈尔滨市,张家界市,0.0799374207854271
Northeast China,Central China,4,沈阳市,郑州市,0.08020945638418198
Northeast China,Central China,5,沈阳市,黄山市,0.0802798643708229
Northeast China,Western China,1,沈阳市,成都市,0.07562102377414703
Northeast China,Western China,2,沈阳市,西安市,0.07580924779176712
Northeast China,Western China,3,哈尔滨市,成都市,0.0765037015080452
Northeast China,Western China,4,哈尔滨市,西安市,0.07749085873365402
Northeast China,Western China,5,长春市,成都市,0.07768858969211578
Eastern Coastal,Northeast China,1,北京市,哈尔滨市,0.07216309756040573
Eastern Coastal,Northeast China,2,北京市,大连市,0.07251795381307602
Eastern Coastal,Northeast China,3,北京市,沈阳市,0.07370885461568832
Eastern Coastal,Northeast China,4,上海市,大连市,0.07425030320882797
Eastern Coastal,Northeast China,5,上海市,哈尔滨市,0.07470516115427017
Eastern Coastal,Eastern Coastal,1,北京市,天津市,0.06997662782669067
Eastern Coastal,Eastern Coastal,2,北京市,上海市,0.07057539373636246
Eastern Coastal,Eastern Coastal,3,上海市,苏州市,0.07059194892644882
Eastern Coastal,Eastern Coastal,4,上海市,杭州市,0.07098539918661118
Eastern Coastal,Eastern Coastal,5,上海市,南京市,0.07118521630764008
Eastern Coastal,Central China,1,北京市,武汉市,0.07241415232419968
Eastern Coastal,Central China,2,上海市,武汉市,0.0728072077035904
Eastern Coastal,Central China,3,上海市,黄山市,0.07282586395740509
Eastern Coastal,Central China,4,北京市,张家界市,0.07284115999937057
Eastern Coastal,Central China,5,北京市,黄山市,0.07332377135753632
Eastern Coastal,Western China,1,北京市,成都市,0.06976348906755447
Eastern Coastal,Western China,2,北京市,西安市,0.07023607194423676
Eastern Coastal,Western China,3,上海市,成都市,0.0709107518196106
Eastern Coastal,Western China,4,北京市,重庆市,0.07094164937734604
Eastern Coastal,Western China,5,上海市,西安市,0.0715237632393837
Central China,Northeast China,1,郑州市,大连市,0.07790028303861618
Central China,Northeast China,2,郑州市,哈尔滨市,0.0784946009516716
Central China,Northeast China,3,武汉市,大连市,0.07862047106027603
Central China,Northeast China,4,武汉市,哈尔滨市,0.07905115932226181
Central China,Northeast China,5,武汉市,沈阳市,0.08004153519868851
Central China,Eastern Coastal,1,郑州市,上海市,0.07404674589633942
Central China,Eastern Coastal,2,郑州市,北京市,0.0742790549993515
Central China,Eastern Coastal,3,武汉市,上海市,0.07488741725683212
Central China,Eastern Coastal,4,合肥市,南京市,0.07537311315536499
Central China,Eastern Coastal,5,郑州市,南京市,0.07565125077962875
Central China,Central China,1,郑州市,洛阳市,0.0715545192360878
Central China,Central China,2,武汉市,宜昌市,0.07321465760469437
Central China,Central China,3,郑州市,开封市,0.07344050705432892
Central China,Central China,4,武汉市,襄阳市,0.07414962351322174
Central China,Central China,5,长沙市,张家界市,0.07421949505805969
Central China,Western China,1,郑州市,西安市,0.07256540656089783
Central China,Western China,2,郑州市,成都市,0.07312466204166412
Central China,Western China,3,武汉市,成都市,0.0735766664147377
Central China,Western China,4,武汉市,重庆市,0.07419825345277786
Central China,Western China,5,武汉市,西安市,0.07518728822469711
Western China,Northeast China,1,成都市,哈尔滨市,0.0783023089170456
Western China,Northeast China,2,成都市,大连市,0.07836587727069855
Western China,Northeast China,3,西安市,大连市,0.07923875004053116
Western China,Northeast China,4,成都市,沈阳市,0.07973454892635345
Western China,Northeast China,5,重庆市,哈尔滨市,0.07980030030012131
Western China,Eastern Coastal,1,成都市,上海市,0.07434995472431183
Western China,Eastern Coastal,2,成都市,北京市,0.07463469356298447
Western China,Eastern Coastal,3,成都市,深圳市,0.07548747211694717
Western China,Eastern Coastal,4,重庆市,上海市,0.07588055729866028
Western China,Eastern Coastal,5,成都市,南京市,0.07597579807043076
Western China,Central China,1,成都市,张家界市,0.07616391032934189
Western China,Central China,2,成都市,武汉市,0.0770748034119606
Western China,Central China,3,重庆市,张家界市,0.07710903137922287
Western China,Central China,4,西安市,张家界市,0.07783161103725433
Western China,Central China,5,重庆市,武汉市,0.0781479924917221
Western China,Western China,1,成都市,重庆市,0.07147948443889618
Western China,Western China,2,重庆市,成都市,0.07224367558956146
Western China,Western China,3,成都市,西安市,0.07238684594631195
Western China,Western China,4,西安市,成都市,0.07287634909152985
Western China,Western China,5,成都市,绵阳市,0.07354762405157089
