,Eastern Coastal,Central China,Western China,Northeast China
Eastern Coastal,-0.7131653303685571,-1.270208487372936,-1.2037092636383684,-1.1957339508439473
Central China,-1.693431041990655,-2.0582194807214216,-2.379042356842371,-2.8934857809402046
Western China,-1.3794820671398362,-2.0946997638627107,-0.8357186962387174,-1.7280209073506796
Northeast China,-2.104208854900373,-3.7129923551883417,-2.5064162608425353,-0.39156234448970934
