source_region,target_region,rank,source_city,target_city,distance
Northeast China,Northeast China,1,哈尔滨市,齐齐哈尔市,0.07700758427381516
Northeast China,Northeast China,2,沈阳市,大连市,0.0772283524274826
Northeast China,Northeast China,3,长春市,哈尔滨市,0.07822258025407791
Northeast China,Northeast China,4,沈阳市,哈尔滨市,0.07873918861150742
Northeast China,Northeast China,5,沈阳市,锦州市,0.07961617410182953
Northeast China,Eastern Coastal,1,沈阳市,北京市,0.07877090573310852
Northeast China,Eastern Coastal,2,哈尔滨市,北京市,0.07954756170511246
Northeast China,Eastern Coastal,3,长春市,北京市,0.0797889307141304
Northeast China,Eastern Coastal,4,沈阳市,上海市,0.07998047024011612
Northeast China,Eastern Coastal,5,沈阳市,南京市,0.0800325945019722
Northeast China,Central China,1,沈阳市,张家界市,0.07918459177017212
Northeast China,Central China,2,哈尔滨市,张家界市,0.07988841086626053
Northeast China,Central China,3,长春市,张家界市,0.08016218990087509
Northeast China,Central China,4,大连市,张家界市,0.08076134324073792
Northeast China,Central China,5,沈阳市,黄山市,0.08127462863922119
Northeast China,Western China,1,沈阳市,西安市,0.07879355549812317
Northeast China,Western China,2,哈尔滨市,西安市,0.07975379377603531
Northeast China,Western China,3,长春市,西安市,0.07991164922714233
Northeast China,Western China,4,沈阳市,成都市,0.07991880178451538
Northeast China,Western China,5,大连市,西安市,0.08025815337896347
Eastern Coastal,Northeast China,1,北京市,哈尔滨市,0.0728946328163147
Eastern Coastal,Northeast China,2,北京市,沈阳市,0.07374854385852814
Eastern Coastal,Northeast China,3,北京市,大连市,0.07394528388977051
Eastern Coastal,Northeast China,4,上海市,大连市,0.07558871060609818
Eastern Coastal,Northeast China,5,北京市,齐齐哈尔市,0.07585432380437851
Eastern Coastal,Eastern Coastal,1,北京市,天津市,0.07159242033958435
Eastern Coastal,Eastern Coastal,2,北京市,上海市,0.07194513082504272
Eastern Coastal,Eastern Coastal,3,北京市,南京市,0.07202071696519852
Eastern Coastal,Eastern Coastal,4,上海市,苏州市,0.0720408633351326
Eastern Coastal,Eastern Coastal,5,深圳市,广州市,0.0725010335445404
Eastern Coastal,Central China,1,北京市,张家界市,0.0736866369843483
Eastern Coastal,Central China,2,北京市,洛阳市,0.07384158670902252
Eastern Coastal,Central China,3,北京市,武汉市,0.07394828647375107
Eastern Coastal,Central China,4,北京市,黄山市,0.07398084551095963
Eastern Coastal,Central China,5,上海市,黄山市,0.07417526841163635
Eastern Coastal,Western China,1,北京市,西安市,0.07140044122934341
Eastern Coastal,Western China,2,北京市,成都市,0.07236487418413162
Eastern Coastal,Western China,3,北京市,重庆市,0.07263295352458954
Eastern Coastal,Western China,4,上海市,西安市,0.07298509031534195
Eastern Coastal,Western China,5,上海市,重庆市,0.07416156679391861
Central China,Northeast China,1,武汉市,大连市,0.07969098538160324
Central China,Northeast China,2,郑州市,大连市,0.07995501160621643
Central China,Northeast China,3,武汉市,哈尔滨市,0.08001774549484253
Central China,Northeast China,4,合肥市,大连市,0.08028198033571243
Central China,Northeast China,5,郑州市,哈尔滨市,0.08047112822532654
Central China,Eastern Coastal,1,合肥市,南京市,0.07552824169397354
Central China,Eastern Coastal,2,合肥市,徐州市,0.07699418067932129
Central China,Eastern Coastal,3,合肥市,上海市,0.07716763764619827
Central China,Eastern Coastal,4,武汉市,上海市,0.07736318558454514
Central China,Eastern Coastal,5,郑州市,北京市,0.07753311097621918
Central China,Central China,1,郑州市,洛阳市,0.07390417903661728
Central China,Central China,2,合肥市,黄山市,0.07398395240306854
Central China,Central China,3,长沙市,张家界市,0.07431656867265701
Central China,Central China,4,武汉市,襄阳市,0.07566305249929428
Central China,Central China,5,合肥市,阜阳市,0.07574845105409622
Central China,Western China,1,郑州市,西安市,0.07612309604883194
Central China,Western China,2,武汉市,西安市,0.07696034014225006
Central China,Western China,3,武汉市,重庆市,0.0773342028260231
Central China,Western China,4,合肥市,西安市,0.07775279879570007
Central China,Western China,5,武汉市,成都市,0.07788953930139542
Western China,Northeast China,1,成都市,大连市,0.07860144972801208
Western China,Northeast China,2,成都市,哈尔滨市,0.07885456085205078
Western China,Northeast China,3,西安市,大连市,0.07986071705818176
Western China,Northeast China,4,重庆市,大连市,0.07996640354394913
Western China,Northeast China,5,重庆市,哈尔滨市,0.08002008497714996
Western China,Eastern Coastal,1,成都市,北京市,0.07512473315000534
Western China,Eastern Coastal,2,成都市,上海市,0.07574047148227692
Western China,Eastern Coastal,3,成都市,深圳市,0.0769663155078888
Western China,Eastern Coastal,4,成都市,南京市,0.07704836130142212
Western China,Eastern Coastal,5,成都市,苏州市,0.07747788727283478
Western China,Central China,1,成都市,张家界市,0.0769861489534378
Western China,Central China,2,重庆市,张家界市,0.07701946049928665
Western China,Central China,3,西安市,洛阳市,0.07747800648212433
Western China,Central China,4,西安市,张家界市,0.07839076220989227
Western China,Central China,5,成都市,洛阳市,0.078580342233181
Western China,Western China,1,成都市,重庆市,0.07300853729248047
Western China,Western China,2,成都市,西安市,0.07442223280668259
Western China,Western China,3,重庆市,成都市,0.07480140030384064
Western China,Western China,4,成都市,攀枝花市,0.07526882737874985
Western China,Western China,5,成都市,宜宾市,0.07538619637489319
