source_region,target_region,rank,source_city,target_city,distance
Northeast China,Northeast China,1,沈阳市,大连市,0.07392871379852295
Northeast China,Northeast China,2,哈尔滨市,齐齐哈尔市,0.07447973638772964
Northeast China,Northeast China,3,沈阳市,丹东市,0.076774001121521
Northeast China,Northeast China,4,哈尔滨市,牡丹江市,0.07691745460033417
Northeast China,Northeast China,5,哈尔滨市,佳木斯市,0.0769820287823677
Northeast China,Eastern Coastal,1,沈阳市,北京市,0.07739751040935516
Northeast China,Eastern Coastal,2,沈阳市,上海市,0.07822682708501816
Northeast China,Eastern Coastal,3,哈尔滨市,北京市,0.07825994491577148
Northeast China,Eastern Coastal,4,沈阳市,南京市,0.07834917306900024
Northeast China,Eastern Coastal,5,沈阳市,秦皇岛市,0.07857052236795425
Northeast China,Central China,1,沈阳市,张家界市,0.07820232212543488
Northeast China,Central China,2,沈阳市,武汉市,0.07942028343677521
Northeast China,Central China,3,哈尔滨市,张家界市,0.07962682098150253
Northeast China,Central China,4,沈阳市,黄山市,0.08014325797557831
Northeast China,Central China,5,哈尔滨市,武汉市,0.08035234361886978
Northeast China,Western China,1,沈阳市,西安市,0.07685461640357971
Northeast China,Western China,2,沈阳市,成都市,0.07689332216978073
Northeast China,Western China,3,哈尔滨市,成都市,0.07781020551919937
Northeast China,Western China,4,哈尔滨市,西安市,0.07812362164258957
Northeast China,Western China,5,沈阳市,重庆市,0.07886049896478653
Eastern Coastal,Northeast China,1,北京市,大连市,0.07318652421236038
Eastern Coastal,Northeast China,2,北京市,哈尔滨市,0.073307566344738
Eastern Coastal,Northeast China,3,上海市,大连市,0.07465177029371262
Eastern Coastal,Northeast China,4,北京市,沈阳市,0.07506057620048523
Eastern Coastal,Northeast China,5,上海市,哈尔滨市,0.07561585307121277
Eastern Coastal,Eastern Coastal,1,北京市,天津市,0.07087738066911697
Eastern Coastal,Eastern Coastal,2,上海市,苏州市,0.07118774950504303
Eastern Coastal,Eastern Coastal,3,深圳市,惠州市,0.07209030538797379
Eastern Coastal,Eastern Coastal,4,广州市,深圳市,0.07221323251724243
Eastern Coastal,Eastern Coastal,5,上海市,无锡市,0.07221559435129166
Eastern Coastal,Central China,1,北京市,武汉市,0.07261049002408981
Eastern Coastal,Central China,2,上海市,武汉市,0.07289303094148636
Eastern Coastal,Central China,3,北京市,张家界市,0.07322380691766739
Eastern Coastal,Central China,4,上海市,黄山市,0.07341355085372925
Eastern Coastal,Central China,5,上海市,张家界市,0.07393073290586472
Eastern Coastal,Western China,1,北京市,成都市,0.07105141878128052
Eastern Coastal,Western China,2,北京市,西安市,0.07108724117279053
Eastern Coastal,Western China,3,上海市,西安市,0.07228615880012512
Eastern Coastal,Western China,4,上海市,成都市,0.07236407697200775
Eastern Coastal,Western China,5,北京市,重庆市,0.07244361937046051
Central China,Northeast China,1,郑州市,大连市,0.07784709334373474
Central China,Northeast China,2,武汉市,大连市,0.07829374074935913
Central China,Northeast China,3,郑州市,哈尔滨市,0.07943786680698395
Central China,Northeast China,4,武汉市,哈尔滨市,0.07958146184682846
Central China,Northeast China,5,太原市,大连市,0.07988999783992767
Central China,Eastern Coastal,1,合肥市,南京市,0.07526887953281403
Central China,Eastern Coastal,2,武汉市,深圳市,0.07586359977722168
Central China,Eastern Coastal,3,郑州市,北京市,0.07596214860677719
Central China,Eastern Coastal,4,郑州市,上海市,0.0759899914264679
Central China,Eastern Coastal,5,武汉市,上海市,0.07612365484237671
Central China,Central China,1,郑州市,洛阳市,0.0715579241514206
Central China,Central China,2,武汉市,宜昌市,0.07324147969484329
Central China,Central China,3,武汉市,襄阳市,0.07347741723060608
Central China,Central China,4,郑州市,开封市,0.0737016499042511
Central China,Central China,5,武汉市,荆州市,0.07389476150274277
Central China,Western China,1,郑州市,西安市,0.07390888035297394
Central China,Western China,2,郑州市,成都市,0.07485075294971466
Central China,Western China,3,武汉市,成都市,0.07491545379161835
Central China,Western China,4,武汉市,重庆市,0.07524273544549942
Central China,Western China,5,武汉市,西安市,0.07568181306123734
Western China,Northeast China,1,成都市,大连市,0.07793600112199783
Western China,Northeast China,2,成都市,哈尔滨市,0.07882553339004517
Western China,Northeast China,3,西安市,大连市,0.07898589968681335
Western China,Northeast China,4,重庆市,大连市,0.07946496456861496
Western China,Northeast China,5,成都市,沈阳市,0.08027195930480957
Western China,Eastern Coastal,1,成都市,上海市,0.07552424818277359
Western China,Eastern Coastal,2,成都市,深圳市,0.07565481215715408
Western China,Eastern Coastal,3,成都市,北京市,0.07595802843570709
Western China,Eastern Coastal,4,成都市,苏州市,0.07625662535429001
Western China,Eastern Coastal,5,成都市,南京市,0.07639271020889282
Western China,Central China,1,成都市,张家界市,0.07651086896657944
Western China,Central China,2,成都市,武汉市,0.07659977674484253
Western China,Central China,3,重庆市,张家界市,0.0771736279129982
Western China,Central China,4,重庆市,武汉市,0.07790164649486542
Western China,Central China,5,西安市,洛阳市,0.07792447507381439
Western China,Western China,1,成都市,重庆市,0.07237040996551514
Western China,Western China,2,成都市,西安市,0.07320307940244675
Western China,Western China,3,重庆市,成都市,0.0732036754488945
Western China,Western China,4,成都市,宜宾市,0.07382134348154068
Western China,Western China,5,成都市,绵阳市,0.07407823950052261
