city,clustering_coefficient,hierarchy
七台河市,0.00368053343482147,普通地级市
三亚市,0.0034635833701580896,普通地级市
三明市,0.0032753581369736775,普通地级市
三门峡市,0.003402878265345925,普通地级市
上海市,0.0030960566213097105,直辖市
上饶市,0.003242818721851259,普通地级市
东莞市,0.0031645629492619057,普通地级市
东营市,0.0033392555393822296,普通地级市
中卫市,0.003868287875803897,普通地级市
中山市,0.0031776876248681483,普通地级市
临汾市,0.0033004725792617705,普通地级市
临沂市,0.0032314161351707548,普通地级市
临沧市,0.0035911906967636266,普通地级市
丹东市,0.0034831887096181914,普通地级市
丽水市,0.003359324497053312,普通地级市
丽江市,0.0039156609625937405,普通地级市
乌兰察布市,0.0035410365150305234,普通地级市
乌海市,0.0038062465839438487,普通地级市
乌鲁木齐市,0.00325934835544179,省会城市
乐山市,0.003391237304639812,普通地级市
九江市,0.003291678672692939,普通地级市
云浮市,0.00349396198437537,普通地级市
亳州市,0.00343401067537724,普通地级市
伊春市,0.0035880831378504274,普通地级市
佛山市,0.003147854608702438,普通地级市
佳木斯市,0.003437472586407435,普通地级市
保定市,0.0031647910589526007,普通地级市
保山市,0.0037037825097161548,普通地级市
信阳市,0.0033187320297071044,普通地级市
儋州市,0.00365308497335859,普通地级市
克拉玛依市,0.003719264458837262,普通地级市
六安市,0.0033792318801881376,普通地级市
六盘水市,0.0036670604099507077,普通地级市
兰州市,0.0032481975154922773,省会城市
内江市,0.003465869363211823,普通地级市
包头市,0.003332675227403292,普通地级市
北京市,0.003061039447134862,直辖市
北海市,0.00356750956236757,普通地级市
十堰市,0.0033253493665439354,普通地级市
南京市,0.0031647990401624687,副省级城市
南充市,0.003325138991261766,普通地级市
南宁市,0.0032121061610936668,省会城市
南平市,0.003299979644997054,普通地级市
南昌市,0.0032040163293765066,省会城市
南通市,0.0032020217963340345,普通地级市
南阳市,0.0032365230477368148,普通地级市
厦门市,0.0032174597353155153,副省级城市
双鸭山市,0.0035718974955454602,普通地级市
台州市,0.003256977187883843,普通地级市
合肥市,0.003131972929218848,省会城市
吉安市,0.003325925948903145,普通地级市
吉林市,0.0032069196931735263,普通地级市
吐鲁番市,0.004067699804306211,普通地级市
吕梁市,0.00332876720317648,普通地级市
吴忠市,0.0035049740525526078,普通地级市
周口市,0.003288260033283412,普通地级市
呼伦贝尔市,0.00348477064406963,普通地级市
呼和浩特市,0.0032398832916715986,省会城市
咸宁市,0.003425839533683354,普通地级市
咸阳市,0.003305133740866098,普通地级市
哈密市,0.0036535962283467498,普通地级市
哈尔滨市,0.0032092094777105822,副省级城市
唐山市,0.0032055475634785915,普通地级市
商丘市,0.0032699408943558123,普通地级市
商洛市,0.0036950667468229163,普通地级市
嘉兴市,0.0032127480132250726,普通地级市
嘉峪关市,0.0042261232983839955,普通地级市
四平市,0.0034083846641044012,普通地级市
固原市,0.0036805721742956656,普通地级市
大同市,0.00337660202851378,普通地级市
大庆市,0.0032856662015815796,普通地级市
大连市,0.0032292923303634917,副省级城市
天水市,0.0034918108667473103,普通地级市
天津市,0.003155393291057559,直辖市
太原市,0.0031662064621063766,省会城市
威海市,0.0033264631102684966,普通地级市
娄底市,0.003321158415265272,普通地级市
孝感市,0.003286367029467613,普通地级市
宁德市,0.0033509684749100602,普通地级市
宁波市,0.0031863206961851615,副省级城市
安庆市,0.0033251624686671285,普通地级市
安康市,0.00362308115169471,普通地级市
安阳市,0.00330298387155683,普通地级市
安顺市,0.0035190648355817667,普通地级市
定西市,0.003619239760925044,普通地级市
宜宾市,0.003393286565029001,普通地级市
宜昌市,0.0033039289790051194,普通地级市
宜春市,0.0032711196399353034,普通地级市
宝鸡市,0.003365018242481538,普通地级市
宣城市,0.0032959173452236745,普通地级市
宿州市,0.003296170724498606,普通地级市
宿迁市,0.0032642396541701976,普通地级市
山南市,0.004025456667750497,普通地级市
岳阳市,0.0033558802640670563,普通地级市
崇左市,0.0032501864699750246,普通地级市
巴中市,0.003583889040074222,普通地级市
巴彦淖尔市,0.0035948749758973123,普通地级市
常州市,0.0032253342735907107,普通地级市
常德市,0.003350580395508587,普通地级市
平凉市,0.003499466187903744,普通地级市
平顶山市,0.0032761063608330253,普通地级市
广元市,0.0035858455517096383,普通地级市
广安市,0.0035083187278577214,普通地级市
广州市,0.003126079136552627,副省级城市
庆阳市,0.0035399757450783713,普通地级市
廊坊市,0.003182847684271579,普通地级市
延安市,0.0036681474141750632,普通地级市
开封市,0.0033691924381444175,普通地级市
张家口市,0.003328361479373901,普通地级市
张家界市,0.003747833892671002,普通地级市
张掖市,0.0037169117658617918,普通地级市
徐州市,0.0032347299107580497,普通地级市
德州市,0.003324391469753026,普通地级市
德阳市,0.003303145900160228,普通地级市
忻州市,0.0034166626814487932,普通地级市
怀化市,0.0034125884941252453,普通地级市
惠州市,0.0032770360926011395,普通地级市
成都市,0.0031490440430300376,副省级城市
扬州市,0.003261121205838746,普通地级市
承德市,0.00337671926369141,普通地级市
抚州市,0.003299356743518103,普通地级市
抚顺市,0.003309678099788846,普通地级市
拉萨市,0.0035846454044032882,省会城市
揭阳市,0.0032779385594120963,普通地级市
攀枝花市,0.003796539207613687,普通地级市
新乡市,0.003177349625054986,普通地级市
新余市,0.003315927411129283,普通地级市
无锡市,0.003192864861127731,普通地级市
日喀则市,0.004080949067515327,普通地级市
日照市,0.0033301651194883445,普通地级市
昆明市,0.003197918368998827,省会城市
昌都市,0.004098069443378052,普通地级市
昭通市,0.003600627791912018,普通地级市
晋中市,0.0031957452377276226,普通地级市
晋城市,0.003309674759641156,普通地级市
普洱市,0.003501159028459074,普通地级市
景德镇市,0.0034507640335948993,普通地级市
曲靖市,0.0034278832853249443,普通地级市
朔州市,0.003494499297096553,普通地级市
朝阳市,0.0034995650415131844,普通地级市
