,直辖市,副省级城市,省会城市,普通地级市
2014,0.0029763019868164564,0.00301183097529531,0.0030548282523907735,0.003318717740273113
2015,0.0029947503310267533,0.0030310532217192854,0.0030916976232849866,0.003295755542372111
2016,0.0029875879103560222,0.0030274086567859426,0.0030961511948330613,0.0032973651574844816
2017,0.00309241452430136,0.003134152412094149,0.0032021741622973708,0.0034245519065570847
2018,0.003105596188179304,0.003147113211726517,0.00321409797722178,0.0034203205454742766
2019,0.003088298268868003,0.0031319751722761074,0.003199148524686605,0.003423894077161676
2020,0.0031227690200024663,0.0031682320599438515,0.0032359867041732875,0.0034191798664686183
2021,0.0031237139394608144,0.003165526507201811,0.0032373942224665016,0.003419108131821762
2022,0.0031299184451147894,0.0031587065074043827,0.0032325734923828934,0.0034178955274260714
2023,0.0031052562480455535,0.0031529694083688386,0.003232869312496178,0.003418453374816879
