city,clustering_coefficient,hierarchy
七台河市,0.003628027860571641,普通地级市
三亚市,0.0036039674854873717,普通地级市
三明市,0.003335248001105056,普通地级市
三门峡市,0.00348100874700715,普通地级市
上海市,0.0030533183180723564,直辖市
上饶市,0.003217336896036621,普通地级市
东莞市,0.00312847786042877,普通地级市
东营市,0.003327842207819417,普通地级市
中卫市,0.003978156874189772,普通地级市
中山市,0.0031667932592138117,普通地级市
临汾市,0.0031686970787074683,普通地级市
临沂市,0.0031839722683021194,普通地级市
临沧市,0.0036307492350666766,普通地级市
丹东市,0.0035194761754322834,普通地级市
丽水市,0.0033914709679428016,普通地级市
丽江市,0.003948081328981456,普通地级市
乌兰察布市,0.0035372631594867295,普通地级市
乌海市,0.003606434274777298,普通地级市
乌鲁木齐市,0.0032391854358066524,省会城市
乐山市,0.0034434838700118688,普通地级市
九江市,0.0032814120928199284,普通地级市
云浮市,0.003414565057239815,普通地级市
亳州市,0.0033973154304715925,普通地级市
伊春市,0.003653540780743955,普通地级市
佛山市,0.003114284482290339,普通地级市
佳木斯市,0.0035079861612598144,普通地级市
保定市,0.0031326363112696774,普通地级市
保山市,0.003654830450512721,普通地级市
信阳市,0.0033384669724339927,普通地级市
儋州市,0.0035011862122815325,普通地级市
克拉玛依市,0.00366405708004794,普通地级市
六安市,0.003300418475190866,普通地级市
六盘水市,0.0036969921129289068,普通地级市
兰州市,0.0032019543842523907,省会城市
内江市,0.003490570496061951,普通地级市
包头市,0.003324439958736037,普通地级市
北京市,0.0030223495062593943,直辖市
北海市,0.0035348657677290295,普通地级市
十堰市,0.0034055197971703892,普通地级市
南京市,0.0031351133088099756,副省级城市
南充市,0.0032925755082860815,普通地级市
南宁市,0.003183092370632677,省会城市
南平市,0.0033372716360457505,普通地级市
南昌市,0.0031620201222741233,省会城市
南通市,0.0032019166653296893,普通地级市
南阳市,0.0031732789511369906,普通地级市
厦门市,0.0031847669944899105,副省级城市
双鸭山市,0.003531361796114752,普通地级市
台州市,0.0032380900738861467,普通地级市
合肥市,0.0031008246672399272,省会城市
吉安市,0.0033198486614309576,普通地级市
吉林市,0.0031476572599559854,普通地级市
吐鲁番市,0.003982188359592737,普通地级市
吕梁市,0.0033551952746406384,普通地级市
