,直辖市,副省级城市,省会城市,普通地级市
2014-2015,0.6198411415243937,0.6382246076106636,1.2069212357636914,0.019676689409110826
2015-2016,-0.2391658695726704,-0.1202408755883073,0.14404938938830952,0.028743289532796576
2016-2017,3.5087373858346433,3.5259116759457143,3.424347223134441,4.295414102125009
2017-2018,0.42625798625497535,0.4135344401999754,0.37236622120059976,0.12105485851775502
2018-2019,-0.5569919031051478,-0.48101350132569554,-0.46512124524891685,0.1670320893238365
2019-2020,1.1161729902176485,1.1576364968881725,1.1514995068974232,-0.13833345940041714
2020-2021,0.030259024996572702,-0.08539629329076232,0.043495799639682246,0.03517224940623802
2021-2022,0.19862592331505877,-0.21544598605985574,-0.1489077249274685,-0.04783314652634401
2022-2023,-0.7879501495551444,-0.18162811334629755,0.009151226228320826,-0.030465582262475924
