city,clustering_coefficient,hierarchy
七台河市,1.070268218868634,普通地级市
三亚市,1.0631704082187745,普通地级市
三明市,0.9838981603259916,普通地级市
三门峡市,1.0268975803671092,普通地级市
上海市,0.900728903831345,直辖市
上饶市,0.9491143843308033,普通地级市
东莞市,0.9229009688264872,普通地级市
东营市,0.9817134513067279,普通地级市
中卫市,1.1616218072634135,普通地级市
中山市,0.9342040114680743,普通地级市
临汾市,0.9347656382187033,普通地级市
临沂市,0.9392718191491253,普通地级市
临沧市,1.0710710243446695,普通地级市
丹东市,1.0382454717525236,普通地级市
丽水市,1.0004839355431265,普通地级市
丽江市,1.1646839920495295,普通地级市
乌兰察布市,1.0434926320485851,普通地级市
乌海市,1.0638981110593029,普通地级市
乌鲁木齐市,0.9555597035629624,省会城市
乐山市,1.0158277416535013,普通地级市
九江市,0.9680165673818788,普通地级市
云浮市,1.0072966918857453,普通地级市
亳州市,1.0022080519891197,普通地级市
伊春市,1.0777945303194667,普通地级市
佛山市,0.9187139222756502,普通地级市
佳木斯市,1.0348559175716452,普通地级市
保定市,0.9241277118245549,普通地级市
保山市,1.0745201524507402,普通地级市
信阳市,0.9848477568680278,普通地级市
儋州市,1.0328499326230522,普通地级市
克拉玛依市,1.0808968386141424,普通地级市
六安市,0.9736234501813055,普通地级市
六盘水市,1.0906126733140273,普通地级市
兰州市,0.9445765433544553,省会城市
内江市,1.0297182963382756,普通地级市
包头市,0.9807097878271308,普通地级市
北京市,0.8915931043465212,直辖市
北海市,1.042785401480064,普通地级市
十堰市,1.0046283401652647,普通地级市
南京市,0.9248584260989426,副省级城市
南充市,0.971309774944394,普通地级市
南宁市,0.9390122493366397,省会城市
南平市,0.9844951326334964,普通地级市
南昌市,0.9327959360708663,省会城市
南通市,0.9445654162722584,普通地级市
南阳市,0.9361172905854123,普通地级市
厦门市,0.9395062633745235,副省级城市
双鸭山市,1.041751729853852,普通地级市
台州市,0.9552365717964132,普通地级市
合肥市,0.9147432768357785,省会城市
吉安市,0.9793553551221325,普通地级市
吉林市,0.9285588916870158,普通地级市
吐鲁番市,1.1707633777202644,普通地级市
吕梁市,0.9897826060189884,普通地级市
吴忠市,1.0646574902183426,普通地级市
周口市,0.9909058289568371,普通地级市
呼伦贝尔市,1.0301837292159133,普通地级市
呼和浩特市,0.9388223119109134,省会城市
咸宁市,1.0277749768852922,普通地级市
咸阳市,0.9622077480305873,普通地级市
哈密市,1.0689098990973285,普通地级市
哈尔滨市,0.9339008051550622,副省级城市
唐山市,0.9277142029049806,普通地级市
商丘市,0.9636467442639612,普通地级市
商洛市,1.0514324585389916,普通地级市
嘉兴市,0.9433427681880235,普通地级市
嘉峪关市,1.2090181036160823,普通地级市
四平市,1.0102149161457346,普通地级市
固原市,1.0362335858406682,普通地级市
大同市,1.0110845720112815,普通地级市
大庆市,0.973801092540449,普通地级市
大连市,0.947319969294956,副省级城市
天水市,0.9971339762393548,普通地级市
天津市,0.9215766707699354,直辖市
太原市,0.9218984208363595,省会城市
威海市,0.9877208170384044,普通地级市
娄底市,0.9967747110578511,普通地级市
孝感市,0.958533124021536,普通地级市
宁德市,0.9871412138536115,普通地级市
宁波市,0.927480610511864,副省级城市
安庆市,0.9932907905056927,普通地级市
安康市,1.0509227652242756,普通地级市
安阳市,0.9738028263879107,普通地级市
安顺市,1.089326033679951,普通地级市
定西市,1.0466765483873763,普通地级市
宜宾市,0.9860133238828769,普通地级市
宜昌市,0.9802338645147813,普通地级市
宜春市,0.9572105209217118,普通地级市
宝鸡市,0.9701032848224995,普通地级市
宣城市,0.974878013887038,普通地级市
宿州市,0.9978087699575761,普通地级市
宿迁市,0.9690790485038151,普通地级市
山南市,1.162236959346103,普通地级市
岳阳市,0.9640019629839597,普通地级市
崇左市,1.0367945675750512,普通地级市
巴中市,1.049843767158467,普通地级市
巴彦淖尔市,1.0391388612970736,普通地级市
常州市,0.9457176268531313,普通地级市
常德市,0.9797343660332153,普通地级市
平凉市,0.998193136193363,普通地级市
平顶山市,0.9833331393986978,普通地级市
广元市,1.040657346878833,普通地级市
广安市,1.0250118140097348,普通地级市
广州市,0.9063005604650619,副省级城市
庆阳市,1.0501492067969307,普通地级市
廊坊市,0.9308960858856528,普通地级市
延安市,1.0930206469527362,普通地级市
开封市,0.9982119554491138,普通地级市
张家口市,0.9834893154030901,普通地级市
张家界市,1.1094051055970664,普通地级市
张掖市,1.0915396853646595,普通地级市
徐州市,0.9527880190868991,普通地级市
德州市,0.9797659506225671,普通地级市
德阳市,0.9857182142387576,普通地级市
忻州市,1.0033506307401148,普通地级市
怀化市,0.9732153670793903,普通地级市
惠州市,0.9584259998279736,普通地级市
成都市,0.921989852249929,副省级城市
扬州市,0.9592875482855518,普通地级市
承德市,0.9951583549804515,普通地级市
抚州市,0.981512213093039,普通地级市
抚顺市,0.9854421365254841,普通地级市
拉萨市,1.0566320569555547,省会城市
揭阳市,0.9871565553288827,普通地级市
攀枝花市,1.1125051344657757,普通地级市
新乡市,0.9159132051625658,普通地级市
新余市,1.014316736054236,普通地级市
无锡市,0.9356015234697087,普通地级市
日喀则市,1.1988544716969063,普通地级市
日照市,0.9967217242463284,普通地级市
昆明市,0.9350354771027408,省会城市
昌都市,1.1917490748515251,普通地级市
昭通市,1.0561502150030126,普通地级市
晋中市,0.9384326587911832,普通地级市
晋城市,0.9770505798290868,普通地级市
普洱市,1.098635819308006,普通地级市
景德镇市,1.0355048848849775,普通地级市
曲靖市,1.0121359579454752,普通地级市
朔州市,1.0410318704085322,普通地级市
朝阳市,1.0457826460150252,普通地级市
本溪市,0.9858466409147373,普通地级市
来宾市,1.1074446135160427,普通地级市
杭州市,0.9069207809680679,副省级城市
松原市,0.9994185249101522,普通地级市
林芝市,1.216313010608694,普通地级市
枣庄市,0.969400960950909,普通地级市
柳州市,0.9816714128727704,普通地级市
株洲市,0.963048325811668,普通地级市
桂林市,0.9818051399036574,普通地级市
梅州市,1.003199614171603,普通地级市
梧州市,1.0055754407732007,普通地级市
榆林市,0.964121913533077,普通地级市
武威市,1.0499848497701514,普通地级市
武汉市,0.918635515336479,副省级城市
毕节市,0.9788245376264268,普通地级市
永州市,0.974150947031365,普通地级市
汉中市,1.0247489882634648,普通地级市
汕头市,0.9451923701317549,普通地级市
汕尾市,1.0150977001051367,普通地级市
江门市,0.9416225881355192,普通地级市
池州市,1.0276635718568659,普通地级市
沈阳市,0.9197202408441006,副省级城市
沧州市,0.9494716298772172,普通地级市
河池市,1.0525995399364032,普通地级市
河源市,1.0218609819658877,普通地级市
泉州市,0.9402586709964768,普通地级市
泰安市,0.9561064899470235,普通地级市
泰州市,0.9513911930766248,普通地级市
泸州市,1.03079278536066,普通地级市
洛阳市,0.9714298307327945,普通地级市
济南市,0.9166840311307849,副省级城市
济宁市,0.9480073729085798,普通地级市
海东市,1.2220956286241753,普通地级市
海口市,0.9396431952158103,省会城市
淄博市,0.9484400587775454,普通地级市
淮北市,1.0004001078500129,普通地级市
淮南市,1.0077729597938188,普通地级市
淮安市,0.9710711184390015,普通地级市
深圳市,0.9100760103046756,副省级城市
清远市,0.9915437687925918,普通地级市
温州市,0.9329038499614147,普通地级市
渭南市,0.9829380287010755,普通地级市
湖州市,0.9741544341904522,普通地级市
湘潭市,0.9906555130772854,普通地级市
湛江市,0.9716836473791155,普通地级市
滁州市,0.9682043973748682,普通地级市
滨州市,0.9588437231113366,普通地级市
漯河市,1.0065556489347083,普通地级市
漳州市,0.957676357816915,普通地级市
潍坊市,0.9333557441282633,普通地级市
潮州市,1.0034394887904912,普通地级市
濮阳市,0.9985585807361087,普通地级市
烟台市,0.9538122578220352,普通地级市
焦作市,0.961253900719012,普通地级市
牡丹江市,0.9929218452534706,普通地级市
玉林市,0.9909743441069855,普通地级市
玉溪市,1.0981061661194809,普通地级市
珠海市,0.9715001528249073,普通地级市
白城市,1.0570686644598335,普通地级市
白山市,1.022150330170814,普通地级市
白银市,1.0999446139291025,普通地级市
百色市,1.051624637111545,普通地级市
益阳市,1.0062591183773006,普通地级市
盐城市,0.9543055510291025,普通地级市
盘锦市,0.9987295734384047,普通地级市
眉山市,1.0100450522367883,普通地级市
石嘴山市,1.049460946784544,普通地级市
石家庄市,0.924032273241458,省会城市
福州市,0.9227155665988941,省会城市
秦皇岛市,0.9805156817523927,普通地级市
绍兴市,0.9446729010513424,普通地级市
绥化市,0.9901745240629858,普通地级市
绵阳市,0.9470405385368271,普通地级市
聊城市,0.9602924410422782,普通地级市
肇庆市,0.9930719818591162,普通地级市
自贡市,0.9917586690521841,普通地级市
舟山市,1.0356945481433526,普通地级市
芜湖市,0.9702260499605988,普通地级市
苏州市,0.9192979874971982,普通地级市
茂名市,0.9993084377392066,普通地级市
荆州市,0.9992446084627786,普通地级市
荆门市,0.9640451500101626,普通地级市
莆田市,1.013023762533118,普通地级市
菏泽市,0.9506622455169149,普通地级市
萍乡市,0.9889130438458891,普通地级市
营口市,0.9747772900474256,普通地级市
葫芦岛市,1.0256306901615475,普通地级市
蚌埠市,1.0321595770056355,普通地级市
衡水市,0.9820609993450792,普通地级市
衡阳市,0.9702090960425911,普通地级市
衢州市,1.0091155785871755,普通地级市
襄阳市,0.9678840167436403,普通地级市
西宁市,0.9749000142256158,省会城市
西安市,0.9320966910808236,副省级城市
许昌市,0.9883129873351575,普通地级市
贵港市,1.0260105075617598,普通地级市
贵阳市,0.9434579224956654,省会城市
贺州市,1.0585459472384615,普通地级市
资阳市,1.028337045686772,普通地级市
赣州市,0.9559311777156304,普通地级市
赤峰市,0.9571610644191708,普通地级市
辽源市,1.0617581545888914,普通地级市
辽阳市,0.9902413384335058,普通地级市
达州市,0.9856105840465169,普通地级市
运城市,0.9774500434041292,普通地级市
连云港市,0.9786000101531352,普通地级市
通化市,1.0240245489058268,普通地级市
通辽市,0.9913170761521423,普通地级市
遂宁市,1.046157215919371,普通地级市
遵义市,0.970876381946933,普通地级市
邢台市,0.9364159607886746,普通地级市
那曲市,1.2501181116359688,普通地级市
邯郸市,0.9449282995933472,普通地级市
邵阳市,1.0022856548950438,普通地级市
郑州市,0.9112250775275232,省会城市
郴州市,1.0180508205880514,普通地级市
鄂尔多斯市,1.0167359335552746,普通地级市
鄂州市,1.0451118123958236,普通地级市
酒泉市,1.052831817755224,普通地级市
重庆市,0.9302932783164417,直辖市
金华市,0.9220730575803414,普通地级市
金昌市,1.1352756055716002,普通地级市
钦州市,1.0485606179762066,普通地级市
铁岭市,0.9918554625234811,普通地级市
铜仁市,1.0625150654003295,普通地级市
铜川市,1.1251609519769854,普通地级市
铜陵市,1.0304043444987547,普通地级市
银川市,0.9698797276567389,省会城市
锦州市,1.0014532991978318,普通地级市
镇江市,0.9494069637182935,普通地级市
长春市,0.9273124429481217,副省级城市
长沙市,0.9188000983753499,省会城市
长治市,0.9850208285459909,普通地级市
阜新市,1.0064378641830516,普通地级市
阜阳市,1.0101596350129158,普通地级市
防城港市,1.1358770592352776,普通地级市
阳江市,1.0329697073367574,普通地级市
阳泉市,0.9999073512007507,普通地级市
陇南市,1.0807539432137672,普通地级市
随州市,1.0303358659188582,普通地级市
雅安市,1.0736505516093158,普通地级市
青岛市,0.9261879375583827,副省级城市
鞍山市,0.942784064099035,普通地级市
韶关市,1.0109613639901078,普通地级市
马鞍山市,1.0045070978544228,普通地级市
驻马店市,0.9988436889078992,普通地级市
鸡西市,1.034574644235313,普通地级市
鹤壁市,1.0258800134355832,普通地级市
鹤岗市,1.1247148278564898,普通地级市
鹰潭市,1.0319098068643688,普通地级市
黄冈市,0.9598667685347221,普通地级市
黄山市,1.0868188411239892,普通地级市
黄石市,0.9941060349157945,普通地级市
黑河市,1.0902985788238948,普通地级市
齐齐哈尔市,1.0177825505377815,普通地级市
龙岩市,1.0011062609226753,普通地级市
