source_region,target_region,rank,source_city,target_city,distance
东北地区,东北地区,1,哈尔滨市,齐齐哈尔市,0.07700758427381516
东北地区,东北地区,2,沈阳市,大连市,0.0772283524274826
东北地区,东北地区,3,长春市,哈尔滨市,0.07822258025407791
东北地区,东北地区,4,沈阳市,哈尔滨市,0.07873918861150742
东北地区,东北地区,5,沈阳市,锦州市,0.07961617410182953
东北地区,东部沿海,1,沈阳市,北京市,0.07877090573310852
东北地区,东部沿海,2,哈尔滨市,北京市,0.07954756170511246
东北地区,东部沿海,3,长春市,北京市,0.0797889307141304
东北地区,东部沿海,4,沈阳市,上海市,0.07998047024011612
东北地区,东部沿海,5,沈阳市,南京市,0.0800325945019722
东北地区,华中地区,1,沈阳市,张家界市,0.07918459177017212
东北地区,华中地区,2,哈尔滨市,张家界市,0.07988841086626053
东北地区,华中地区,3,长春市,张家界市,0.08016218990087509
东北地区,华中地区,4,大连市,张家界市,0.08076134324073792
东北地区,华中地区,5,沈阳市,黄山市,0.08127462863922119
东北地区,西部地区,1,沈阳市,西安市,0.07879355549812317
东北地区,西部地区,2,哈尔滨市,西安市,0.07975379377603531
东北地区,西部地区,3,长春市,西安市,0.07991164922714233
东北地区,西部地区,4,沈阳市,成都市,0.07991880178451538
东北地区,西部地区,5,大连市,西安市,0.08025815337896347
东部沿海,东北地区,1,北京市,哈尔滨市,0.0728946328163147
东部沿海,东北地区,2,北京市,沈阳市,0.07374854385852814
东部沿海,东北地区,3,北京市,大连市,0.07394528388977051
东部沿海,东北地区,4,上海市,大连市,0.07558871060609818
东部沿海,东北地区,5,北京市,齐齐哈尔市,0.07585432380437851
东部沿海,东部沿海,1,北京市,天津市,0.07159242033958435
东部沿海,东部沿海,2,北京市,上海市,0.07194513082504272
东部沿海,东部沿海,3,北京市,南京市,0.07202071696519852
东部沿海,东部沿海,4,上海市,苏州市,0.0720408633351326
东部沿海,东部沿海,5,深圳市,广州市,0.0725010335445404
东部沿海,华中地区,1,北京市,张家界市,0.0736866369843483
东部沿海,华中地区,2,北京市,洛阳市,0.07384158670902252
东部沿海,华中地区,3,北京市,武汉市,0.07394828647375107
东部沿海,华中地区,4,北京市,黄山市,0.07398084551095963
东部沿海,华中地区,5,上海市,黄山市,0.07417526841163635
东部沿海,西部地区,1,北京市,西安市,0.07140044122934341
东部沿海,西部地区,2,北京市,成都市,0.07236487418413162
东部沿海,西部地区,3,北京市,重庆市,0.07263295352458954
东部沿海,西部地区,4,上海市,西安市,0.07298509031534195
东部沿海,西部地区,5,上海市,重庆市,0.07416156679391861
华中地区,东北地区,1,武汉市,大连市,0.07969098538160324
华中地区,东北地区,2,郑州市,大连市,0.07995501160621643
华中地区,东北地区,3,武汉市,哈尔滨市,0.08001774549484253
华中地区,东北地区,4,合肥市,大连市,0.08028198033571243
华中地区,东北地区,5,郑州市,哈尔滨市,0.08047112822532654
华中地区,东部沿海,1,合肥市,南京市,0.07552824169397354
华中地区,东部沿海,2,合肥市,徐州市,0.07699418067932129
华中地区,东部沿海,3,合肥市,上海市,0.07716763764619827
华中地区,东部沿海,4,武汉市,上海市,0.07736318558454514
华中地区,东部沿海,5,郑州市,北京市,0.07753311097621918
华中地区,华中地区,1,郑州市,洛阳市,0.07390417903661728
华中地区,华中地区,2,合肥市,黄山市,0.07398395240306854
华中地区,华中地区,3,长沙市,张家界市,0.07431656867265701
华中地区,华中地区,4,武汉市,襄阳市,0.07566305249929428
华中地区,华中地区,5,合肥市,阜阳市,0.07574845105409622
华中地区,西部地区,1,郑州市,西安市,0.07612309604883194
华中地区,西部地区,2,武汉市,西安市,0.07696034014225006
华中地区,西部地区,3,武汉市,重庆市,0.0773342028260231
华中地区,西部地区,4,合肥市,西安市,0.07775279879570007
华中地区,西部地区,5,武汉市,成都市,0.07788953930139542
西部地区,东北地区,1,成都市,大连市,0.07860144972801208
西部地区,东北地区,2,成都市,哈尔滨市,0.07885456085205078
西部地区,东北地区,3,西安市,大连市,0.07986071705818176
西部地区,东北地区,4,重庆市,大连市,0.07996640354394913
西部地区,东北地区,5,重庆市,哈尔滨市,0.08002008497714996
西部地区,东部沿海,1,成都市,北京市,0.07512473315000534
西部地区,东部沿海,2,成都市,上海市,0.07574047148227692
西部地区,东部沿海,3,成都市,深圳市,0.0769663155078888
西部地区,东部沿海,4,成都市,南京市,0.07704836130142212
西部地区,东部沿海,5,成都市,苏州市,0.07747788727283478
西部地区,华中地区,1,成都市,张家界市,0.0769861489534378
西部地区,华中地区,2,重庆市,张家界市,0.07701946049928665
西部地区,华中地区,3,西安市,洛阳市,0.07747800648212433
西部地区,华中地区,4,西安市,张家界市,0.07839076220989227
西部地区,华中地区,5,成都市,洛阳市,0.078580342233181
西部地区,西部地区,1,成都市,重庆市,0.07300853729248047
西部地区,西部地区,2,成都市,西安市,0.07442223280668259
西部地区,西部地区,3,重庆市,成都市,0.07480140030384064
西部地区,西部地区,4,成都市,攀枝花市,0.07526882737874985
西部地区,西部地区,5,成都市,宜宾市,0.07538619637489319
