city,clustering_coefficient,hierarchy
七台河市,1.0773916288256598,普通地级市
三亚市,1.0182935108264783,普通地级市
三明市,0.9629552922702611,普通地级市
三门峡市,1.000446210011702,普通地级市
上海市,0.910240646665055,直辖市
上饶市,0.9533887042242701,普通地级市
东莞市,0.9303815070830003,普通地级市
东营市,0.9817411285783755,普通地级市
中卫市,1.1372766354863457,普通地级市
中山市,0.9342401617112356,普通地级市
临汾市,0.9703389383029606,普通地级市
临沂市,0.9500363437402018,普通地级市
临沧市,1.055810064848506,普通地级市
丹东市,1.0240574806277483,普通地级市
丽水市,0.9876414021336737,普通地级市
丽江市,1.1512043230025597,普通地级市
乌兰察布市,1.041064735418974,普通地级市
乌海市,1.1190364956794916,普通地级市
乌鲁木齐市,0.9582484164998862,省会城市
乐山市,0.9970237675641048,普通地级市
九江市,0.9677535297717241,普通地级市
云浮市,1.0228675621205643,普通地级市
亳州市,1.0095991385609087,普通地级市
伊春市,1.0548964425280256,普通地级市
佛山市,0.9254692549585168,普通地级市
佳木斯市,1.010616940403786,普通地级市
保定市,0.9304485713320646,普通地级市
保山市,1.0889120578565494,普通地级市
信阳市,0.9757072167338888,普通地级市
儋州市,1.0740069821674256,普通地级市
克拉玛依市,1.093463750898155,普通地级市
六安市,0.9934941727753124,普通地级市
六盘水市,1.078115760525508,普通地级市
兰州市,0.9549700695547294,省会城市
内江市,1.018965592784276,普通地级市
包头市,0.9798065168565678,普通地级市
北京市,0.8999455974576493,直辖市
北海市,1.0488478113360655,普通地级市
十堰市,0.977652713763917,普通地级市
南京市,0.9304509178077659,副省级城市
南充市,0.9775908634309591,普通地级市
南宁市,0.944359211361538,省会城市
南平市,0.9701940156291339,普通地级市
南昌市,0.941980800836693,省会城市
南通市,0.941394408122206,普通地级市
南阳市,0.9515377760346235,普通地级市
厦门市,0.9459331621827615,副省级城市
双鸭山市,1.0501378636903653,普通地级市
台州市,0.9575512932378498,普通地级市
合肥市,0.9208000411903413,省会城市
吉安市,0.9778222289775246,普通地级市
吉林市,0.9428343897930167,普通地级市
吐鲁番市,1.1912808914929023,普通地级市
吕梁市,0.978657557733885,普通地级市
吴忠市,1.0304623714504668,普通地级市
周口市,0.966748449785323,普通地级市
呼伦贝尔市,1.0245225693564712,普通地级市
呼和浩特市,0.9525256877514499,省会城市
咸宁市,1.007196822902906,普通地级市
咸阳市,0.9717093198146328,普通地级市
哈密市,1.0741572911339445,普通地级市
哈尔滨市,0.9435075864469114,副省级城市
唐山市,0.942430983662706,普通地级市
商丘市,0.9613626229406089,普通地级市
商洛市,1.0863496235659373,普通地级市
嘉兴市,0.9445479158881713,普通地级市
嘉峪关市,1.227956845150518,普通地级市
四平市,1.002065091246694,普通地级市
固原市,1.0820882192429255,普通地级市
大同市,0.9927209963830513,普通地级市
大庆市,0.9659858632649844,普通地级市
大连市,0.9494119451268667,副省级城市
天水市,1.0265923948237095,普通地级市
天津市,0.9276856275709224,直辖市
太原市,0.9308646998592749,省会城市
威海市,0.977980154418938,普通地级市
娄底市,0.97642057408799,普通地级市
孝感市,0.9661919066634781,普通地级市
宁德市,0.9851847316235577,普通地级市
宁波市,0.9367782846784375,副省级城市
安庆市,0.9775977657881357,普通地级市
安康市,1.0651858585982446,普通地级市
安阳市,0.9710772582377081,普通地级市
安顺市,1.0346050616610396,普通地级市
定西市,1.0640564897119629,普通地级市
宜宾市,0.9976262501185263,普通地级市
宜昌市,0.9713551198275052,普通地级市
宜春市,0.9617091741409792,普通地级市
宝鸡市,0.9893153632895723,普通地级市
宣城市,0.9689996994957604,普通地级市
宿州市,0.9690741930025902,普通地级市
宿迁市,0.959686458326038,普通地级市
山南市,1.1539687064765998,普通地级市
岳阳市,0.9866287976357144,普通地级市
崇左市,0.9555548221726573,普通地级市
巴中市,1.04967789365362,普通地级市
巴彦淖尔市,1.0568932429138098,普通地级市
常州市,0.9482482764356689,普通地级市
常德市,0.9850706362795244,普通地级市
平凉市,1.0288430592437006,普通地级市
平顶山市,0.9631752700849094,普通地级市
广元市,1.0542385922026336,普通地级市
广安市,1.03144570599017,普通地级市
广州市,0.9190672661464724,副省级城市
庆阳市,1.040752869053041,普通地级市
廊坊市,0.9357572191758442,普通地级市
延安市,1.0784353397674686,普通地级市
开封市,0.9905425768144588,普通地级市
张家口市,0.9785382749359268,普通地级市
张家界市,1.1018631644452745,普通地级市
张掖市,1.0927720591633667,普通地级市
徐州市,0.9510105937628667,普通地级市
德州市,0.9773710921073897,普通地级市
德阳市,0.9711248946471069,普通地级市
忻州市,1.004498828345945,普通地级市
怀化市,1.003301017272822,普通地级市
惠州市,0.963448611224735,普通地级市
成都市,0.925818948650831,普通地级市
扬州市,0.9587696345165914,普通地级市
承德市,0.9927554635252746,普通地级市
抚州市,0.9700108825943223,普通地级市
抚顺市,0.9730453613379207,普通地级市
拉萨市,1.0538857488945668,省会城市
揭阳市,0.9637139364671564,普通地级市
攀枝花市,1.116182527038424,普通地级市
新乡市,0.9341407897661659,普通地级市
新余市,0.9748826588720092,普通地级市
无锡市,0.9387022691715529,普通地级市
日喀则市,1.1911112157044683,普通地级市
日照市,0.9790685451295732,普通地级市
昆明市,0.9401880004856551,省会城市
昌都市,1.1958671788004325,普通地级市
昭通市,1.0585845708221333,普通地级市
晋中市,0.9395490998919211,普通地级市
晋城市,0.9730443793344998,普通地级市
普洱市,1.0293407543669677,普通地级市
景德镇市,1.0145246258769003,普通地级市
曲靖市,1.0077976858855335,普通地级市
朔州市,1.0273827933463866,普通地级市
朝阳市,1.0288721222048762,普通地级市
本溪市,0.973623025408393,普通地级市
来宾市,1.0488573690945127,普通地级市
杭州市,0.9153998706218013,副省级城市
松原市,0.9677260091713149,普通地级市
林芝市,1.1908364228935389,普通地级市
枣庄市,0.9677773715480936,普通地级市
柳州市,0.9934843833683814,普通地级市
株洲市,0.9750933202988312,普通地级市
桂林市,0.9746320205025175,普通地级市
梅州市,1.014607618831775,普通地级市
梧州市,1.0312808861242724,普通地级市
榆林市,0.9650293332668181,普通地级市
武威市,1.0757147085823742,普通地级市
武汉市,0.9221773308380952,副省级城市
毕节市,0.987336256281328,普通地级市
永州市,1.0062240827015314,普通地级市
汉中市,1.017789258753183,普通地级市
汕头市,0.9493524642272386,普通地级市
汕尾市,1.0159975360943216,普通地级市
江门市,0.9626073633740794,普通地级市
池州市,0.9885216616290695,普通地级市
沈阳市,0.9314668797764317,副省级城市
沧州市,0.9555899759514461,普通地级市
河池市,1.0312157478569814,普通地级市
河源市,1.0285793230151798,普通地级市
泉州市,0.9415577054353719,普通地级市
泰安市,0.9466706553268606,普通地级市
泰州市,0.9516036363147368,普通地级市
泸州市,1.0264188871331403,普通地级市
洛阳市,0.9604271059637007,普通地级市
济南市,0.9215503598300695,副省级城市
济宁市,0.9408526123029206,普通地级市
海东市,1.1045077284960565,普通地级市
海口市,0.950184491816142,省会城市
淄博市,0.9473451582353901,普通地级市
淮北市,0.9820051584113443,普通地级市
淮南市,0.9727342379911813,普通地级市
淮安市,0.9635905308963028,普通地级市
深圳市,0.9166099215481933,副省级城市
清远市,1.0103302574893127,普通地级市
温州市,0.9315070127734357,普通地级市
渭南市,0.9904080600548986,普通地级市
湖州市,0.9732951467602755,普通地级市
