,直辖市,副省级城市,省会城市,普通地级市
2014,0.8750327841240383,0.8856423384003352,0.8981195062028874,0.9596001312877958
2015,0.8804565973218654,0.8919741956669771,0.908959101245786,0.9601168078342909
2016,0.8783508456446706,0.8915569924522073,0.9102684512809198,0.9601809699628628
2017,0.9091698701445998,0.9211734793043763,0.941439203715427,1.0019852118452344
2018,0.9130452793247154,0.925117856847184,0.9449448053032034,1.0034760680778743
2019,0.9079596910471928,0.9209390033440975,0.940549666257862,1.0052015670543368
2020,0.9180940918807251,0.9320827931459854,0.9513800910269467,1.003846974974375
2021,0.9183718982014795,0.9310109248649397,0.9517939014051514,1.004235098522094
2022,0.920196022863748,0.9291615330245685,0.9503766067605706,1.003704393763858
2023,0.9129453369253927,0.9274751900593615,0.9504635778738764,1.0033454018730428
